iteration,chain,Q1,Q2,Q3,Q4,Q5,Q6,Q7,R,Ylacglc,Yammgln,lambda,u0_LAC,u0_MAb,obj,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
1001,1,9.44023220801861e6,0.0588809738810729,0.0036669949401216236,0.0003430901099872003,0.0803421920555755,0.07286863672419949,0.09572511949364151,1.000911048243658e8,4.343641787021104,1.2625409583726035,9.895809933367975e-9,8.605935159116553,204.5171250768424,-0.2657402038569936,-40.07712855159651,7.0,1.0,0.9867676033496454,-40.07712855159651,47.68316017278411,-0.0659672786063723,0.09720142128232112,3.0,0.0,0.42419215737695554,0.42419215737695554
1002,1,1.0052566796475291e7,0.09016706862801678,0.05833387405288463,0.00612123995416757,0.030976342182078113,0.1332855955079708,0.0944238760503606,1.709754193822919e8,1.527215031998427,1.1169322565917439,9.877852020097286e-9,1.7065907555639894,103.9803828502738,-0.13055430472104634,-35.240703868114146,7.0,1.0,0.9834281279455608,-35.240703868114146,43.251847472756,-0.09208982827802714,-0.09208982827802714,3.0,0.0,0.42419215737695554,0.42419215737695554
1003,1,1.0003180274144318e7,0.06893195807655521,0.21295312123340088,0.005759619608626798,0.08584000127357726,0.0013889846266383755,0.12522273005555812,8.893207068759775e7,3.970539377932423,1.5742306803132649,4.488862796531725e-9,8.208393320972005,199.24345432741097,0.4104015299900722,-39.03038278049243,7.0,1.0,0.7228318419388263,-39.03038278049243,43.17745259333551,0.2198482644394275,0.44507148635059224,3.0,0.0,0.42419215737695554,0.42419215737695554
1004,1,1.0603936300004257e7,0.15544331212765714,0.16540176803670162,0.0021329283126947443,0.0865084083392593,0.0023062465827999768,0.08488331553320988,9.082432075411963e7,2.8255274217170725,1.5461371501208583,4.847842942202723e-9,8.743531471981663,179.58597752316547,0.5470479155315843,-38.641252489422705,15.0,1.0,0.9350218529490706,-38.641252489422705,46.27511426736454,-0.5207167858545674,0.790169812029184,3.0,0.0,0.42419215737695554,0.42419215737695554
1005,1,1.0413830338845624e7,0.04982743525407701,0.0657334821655749,0.00638018893517042,0.08259573128577731,0.31775300197536965,0.09275621638717323,1.7218447373085475e8,2.6531707147294212,0.9022393346565261,1.0057689618388032e-8,1.9515298446707035,154.97477247445323,-1.1507528852811748,-38.220314345417584,7.0,1.0,0.9668750128685583,-38.220314345417584,43.36578255281848,0.2638026813893859,-0.40830984746042276,3.0,0.0,0.42419215737695554,0.42419215737695554
1006,1,1.046377348675419e7,0.04354401167346145,0.06584355080672324,0.006481767900708866,0.05205939097393646,0.1346544944235187,0.10694046538190044,1.7047246812090105e8,2.967894558636452,0.7694477126072863,8.119786947300274e-9,2.590069190712827,127.92776867296476,-0.7256108486279189,-34.223157153320955,7.0,1.0,1.0,-34.223157153320955,40.25882823861218,-0.6598062831964384,-0.7425291458507246,3.0,0.0,0.42419215737695554,0.42419215737695554
1007,1,8.861879316613883e6,0.16354447735756367,0.0670866421618059,0.07151026698444277,0.04205673936389105,0.05955548695859845,0.023362282558635587,9.325802615513965e7,1.2695107651176554,1.6634480407767778,5.58047298410992e-9,8.053112022667827,221.73894982221228,0.2340238861378673,-34.745712241782414,7.0,1.0,0.8985258494713876,-34.745712241782414,41.02139385915209,0.038372219244145356,0.4000872972698204,3.0,0.0,0.42419215737695554,0.42419215737695554
1008,1,8.090958560345056e6,0.04943462795823847,0.11441109355909955,0.13628655427079148,0.022195322299670448,0.02974509955861394,0.14481036627730048,1.0726023994316544e8,2.054564248136848,0.7847461533371634,2.188869808304926e-9,5.321540434758924,197.29597214778016,-0.1879080070687945,-36.53794718175183,7.0,1.0,0.6206079440136456,-36.53794718175183,43.94483225233021,0.36985572151206014,1.5621967761143196,3.0,0.0,0.42419215737695554,0.42419215737695554
1009,1,9.148055179107118e6,0.013590212821131395,0.07159796963708004,0.05184859439807982,0.08897529971588314,0.009032053059810335,0.059139892405063996,1.322539010329206e8,2.236480391490768,1.6502461240847803,2.1809077047059e-9,6.1348999134393605,103.96821688039198,1.9366349513705077,-38.39794349575929,7.0,1.0,0.9792704585952744,-38.39794349575929,42.914085883503624,0.013494016516297336,-0.3392941203836273,3.0,0.0,0.42419215737695554,0.42419215737695554
1010,1,9.096864771335144e6,0.01598379394938267,0.07340089741961392,0.033290806559340774,0.08063172570448067,0.016390389566444386,0.06897091361136816,1.0408620962170166e8,2.0272687853994498,1.4117777037424402,2.6209133900634185e-9,6.470262793620921,109.89443464770466,1.6039232135498807,-36.32239950787821,7.0,1.0,0.9913040816106786,-36.32239950787821,42.65572051255879,-0.018012107988162995,-0.31674277755979574,3.0,0.0,0.42419215737695554,0.42419215737695554
