iteration,chain,σ1,σ2,σ3,σ4,σ5,σ6,σ7,Q1,Q2,Q3,Q4,Q5,Q6,Q7,r,Ylacglc,Yammgln,lambda,u0_LAC,u0_MAb,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
1001,1,7.95283684313208e7,1.7927578751742655e8,1.6717920525019734,0.36214677527370576,2.2913211794852852,0.2470742178806677,31.341099604966885,1.026889967179973e7,0.21760469601248836,0.007537055487612642,0.1050450934826232,0.006438109955514215,0.03422018345985607,0.04302783755522398,8.693535926201233e7,1.246052754506994,0.4290275127866659,4.429104735253282e-9,0.7791614515700683,69.92236239482496,-822.4874877596066,15.0,1.0,0.6669207798656273,-822.4874877596066,836.0793694957928,0.06797718295456434,1.1932188870146092,3.0,0.0,0.2831066516762558,0.2831066516762558
1002,1,1.4023865682023907e8,1.7052063824253103e8,2.33456723029632,0.36528405627076116,2.1773483506620046,0.2900182369061192,28.549697608990567,1.1519232709179366e7,0.017735088273238553,0.2668364724138711,0.0911326420210872,0.03639519040930294,0.0012778018435619914,0.17026333033903326,1.0372053422778451e8,1.2614165489553013,0.45978789951546456,4.302311184988698e-9,1.1231620892605612,80.16308293726384,-823.2474885609876,15.0,1.0,0.48899053750652854,-823.2474885609876,830.8489121768383,0.5350895814841579,2.413511306659643,4.0,0.0,0.2831066516762558,0.2831066516762558
1003,1,9.664474227016772e7,2.2075519116001463e8,2.0110235809313277,0.39337201921172765,2.4249233279004203,0.21827493699159642,28.332250831714703,1.1667501091776533e7,0.228835423794452,0.029554378577990644,0.05139376644157289,0.24326104184237288,0.0033741322936102396,0.03911815614606878,8.907552666657262e7,1.1416666136134745,0.4176796142222304,4.1975371862388e-9,2.6630601077338145,89.42686215773796,-822.7091366539181,15.0,1.0,0.7450925292519412,-822.7091366539181,832.1884852885951,0.22631433840331283,2.88439093059651,4.0,0.0,0.2831066516762558,0.2831066516762558
1004,1,1.1812767896779165e8,1.33906016412952e8,1.3688541269347019,0.4400216912562098,2.8533159013716562,0.34934593742774933,25.143516694504555,9.46451512440856e6,0.004498336444289844,0.04572759412182169,0.03841606435980231,0.007536812470316224,0.014940194728947682,0.033510817902130494,1.098359982986222e8,1.264764757985024,0.4082877451135375,4.1976876040513125e-9,1.1895832852348147,81.56241318284965,-826.0107420145522,15.0,1.0,0.9331233389196051,-826.0107420145522,831.6890524100435,0.10702363428083572,0.563050025706616,4.0,0.0,0.2831066516762558,0.2831066516762558
1005,1,9.985068101057947e7,1.6778158335024056e8,1.5883362759571835,0.3681733839963728,3.1680049766049954,0.17535166583482703,25.18412253698587,1.0169965709868731e7,0.0010075096052596408,0.24902073441712716,0.08626464414931716,0.03857240311196372,0.02253825178259085,0.13655253916267546,8.332619476189044e7,1.189792449997879,0.41122359151843446,4.196336364698899e-9,2.7382409487488046,87.99863410485383,-823.4670464654652,15.0,1.0,0.9935139999556047,-823.4670464654652,833.6675089522029,-0.2268719304371416,-0.5022191575581019,4.0,0.0,0.2831066516762558,0.2831066516762558
1006,1,1.1790373676999018e8,1.771463358176767e8,1.8968375626147862,0.3626217422865074,1.8967350945456822,0.4390471385941651,31.627284874554757,1.1105630659792628e7,0.3199453025786594,0.005738165249624125,0.09564623704137877,0.036778083458536885,0.01963637502959602,0.13771207967082544,8.994497777153304e7,1.309307201593508,0.4927595099494992,4.230041681390885e-9,0.6347337614385312,91.14245356547895,-823.9473973427727,15.0,1.0,0.9743285629541778,-823.9473973427727,829.1532481116174,0.2019597661943635,-0.2729125094826941,4.0,0.0,0.2831066516762558,0.2831066516762558
1007,1,1.0768331941078606e8,1.8378208882014102e8,1.8941026635327785,0.3784418457052608,2.030252718446696,0.4637583817665247,31.18085733102727,1.0659946354173357e7,0.21912699125374696,0.008838351968165686,0.14107329389777984,0.03535391590704811,0.02241080347315004,0.08436192138646698,9.463339810966781e7,1.2356711318871711,0.47940967763274084,4.240530987933487e-9,0.8179300031770355,90.36805242613354,-820.0586721210228,15.0,1.0,0.9473134322677568,-820.0586721210228,833.2706914099352,-0.35938323520326776,-0.35938323520326776,4.0,0.0,0.2831066516762558,0.2831066516762558
1008,1,1.1326788084654267e8,1.6976399476117516e8,1.9679824367729528,0.40821380250298145,1.834006717401693,0.4776304988181743,29.8946879584811,1.01470997453283e7,0.24256567835429596,0.005689894412898059,0.1257423672081333,0.027568406823576978,0.01505730000785724,0.20433764011810357,9.595272391084896e7,1.2695700729373418,0.4838825775843359,4.3170446769244444e-9,1.4364418179569545,88.13624712302398,-824.7250758568359,15.0,1.0,0.7739320602852174,-824.7250758568359,836.5285108916165,-0.060527751508857364,0.6372186084802252,3.0,0.0,0.2831066516762558,0.2831066516762558
1009,1,1.2763297298472227e8,1.7325984793904454e8,2.5646572298060883,0.3483732421364402,2.136538633752109,0.2786515077300568,46.38827963045009,9.326715339017734e6,0.024275565727629934,0.004267805327621746,0.09140826640637459,0.06555267897058113,0.03750703809070791,0.012324829044139946,1.473840069400979e8,1.3727125581466886,0.42068479648111906,4.179405716840511e-9,0.048701759407197155,67.89363946326478,-831.0432026445069,15.0,1.0,0.3164103811565585,-831.0432026445069,841.4637819974118,1.169577944477055,1.952884896583214,4.0,0.0,0.2831066516762558,0.2831066516762558
1010,1,8.686175442015266e7,2.1072591130400056e8,1.7304068601816607,0.4402754627811087,2.666911016126703,0.19386021601518996,26.260320755407527,1.0485698651864368e7,0.1135758189104757,0.0025457621355741283,0.036668919942020935,0.08332770196518635,0.0018633934461032042,0.21210501772632656,8.218628250523657e7,1.349176905495252,0.4254419558728892,3.9593350563520285e-9,0.4927208310269202,99.1269889884598,-825.1753411775236,15.0,1.0,0.9548048367389218,-825.1753411775236,841.0178529202753,-0.9659414737038787,-0.9659414737038787,4.0,0.0,0.2831066516762558,0.2831066516762558
1011,1,8.616916039213653e7,1.676165905558907e8,1.837993430300398,0.4267018489423014,2.654887661021453,0.19846133759198323,31.24177818344956,1.0320946331578769e7,0.058807324429584036,0.004972771819873254,0.05608276983411102,0.11376671159475846,0.002289828794037872,0.09189649393915926,8.929658962691101e7,1.260708155861029,0.43035577696836713,4.084063226258065e-9,0.6383334775939422,100.75732112820106,-820.0897857436416,7.0,1.0,0.99971026535146,-820.0897857436416,827.8107101964424,-0.1372678007767263,-0.18730155171772367,3.0,0.0,0.2831066516762558,0.2831066516762558
1012,1,9.280393039670727e7,1.6168752447964138e8,1.9176093437008024,0.4002239018422662,3.1440749295114876,0.2774496165422574,29.6831892391972,1.0292688264046881e7,0.13021865622167428,0.011627971764207462,0.05912458101003958,0.06870220016136444,0.005905086733822741,0.16986529472131523,8.696688372805572e7,1.4062132567838175,0.4466362567114407,3.9782983796538055e-9,2.559116503593814,91.85353488583459,-826.0861371844297,15.0,1.0,0.6731062709822965,-826.0861371844297,836.0715190885923,1.2645805781060062,1.2645805781060062,4.0,0.0,0.2831066516762558,0.2831066516762558
1013,1,9.806360406259352e7,1.5340370572501498e8,2.0497029680304775,0.3716633521439484,2.8257127465180836,0.16643049306989308,33.135767196600725,1.0907179665464405e7,0.030238757420737783,0.021581783061182264,0.07691986817135424,0.14711412392719617,0.02509105677080931,0.03706087126728993,1.190713247052582e8,1.1345945304760252,0.42240001083798445,4.000227101340902e-9,0.4643625283700723,88.22914994725502,-825.1164197007516,7.0,1.0,1.0,-825.1164197007516,830.9380515298348,-0.7531153104462192,-1.5898292069097124,3.0,0.0,0.2831066516762558,0.2831066516762558
1014,1,1.7083633943871304e8,2.330477613853861e8,2.2082862349196133,0.3400298369968304,4.024820962066821,0.25709088478724695,27.609637058257746,1.0827170787713833e7,0.14248788422466918,0.18922447471868015,0.011377562595027906,0.04797169803511868,0.023805076053428346,0.07739520356910028,9.618621409744757e7,1.1264331869449455,0.4194835236492408,4.14668761504566e-9,2.6882295259442435,87.58183623941008,-824.8140533947637,15.0,1.0,0.8236481861184209,-824.8140533947637,835.9092905365359,-0.6655325088769359,1.0598851626239139,4.0,0.0,0.2831066516762558,0.2831066516762558
1015,1,1.3197018617894231e8,2.789118814740705e8,2.158065633253824,0.3675326520062763,3.5334483765815587,0.2922224941460865,23.7273926890114,1.1595496399772896e7,0.05508811692394482,0.07540417247955869,0.18928674771864126,0.0610948951630261,0.03397292855104186,0.09116626679343111,9.512488690407626e7,1.2661144604858714,0.41371707595185453,4.177873599297779e-9,1.7894366234643952,89.45198205833424,-822.9102739062456,15.0,1.0,0.936562547220813,-822.9102739062456,834.269894364386,-0.055019374272546884,0.3099863053189438,3.0,0.0,0.2831066516762558,0.2831066516762558
