iteration,chain,σ,Q1,Q2,Q3,Q4,Q5,Q6,Q7,r,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
1001,1,14861.017086473748,0.016539947079921517,0.011638664110349542,0.004574723175291485,0.009409503526177324,0.006389362812085689,0.011820941433505847,0.011131869724979364,2.403226474387544e8,-1133.874982677282,7.0,1.0,0.9539942751937568,-1133.874982677282,1136.1576644170332,-0.03416204757968444,0.10261478058419016,3.0,0.0,0.4029978648581048,0.4029978648581048
1002,1,13789.54920313288,0.002840909856744797,0.003300749411803818,0.014050313436249096,0.009467686477412682,0.004177788496582075,0.008736094860954084,0.004413498088323173,2.4926260710395017e8,-1134.9184536778596,7.0,1.0,0.8477319199726426,-1134.9184536778596,1137.7900250338248,0.10551510160735234,0.44974558620060634,3.0,0.0,0.4029978648581048,0.4029978648581048
1003,1,13939.267085250656,0.004489092427863507,0.0018591510375612207,0.010703369961776203,0.02366752367999065,0.006681917710831941,0.0058951049416050135,0.005992231328116543,2.843326974672928e8,-1136.216368870524,7.0,1.0,0.8888910125507861,-1136.216368870524,1140.5561334994331,-0.038379251375317835,0.44564143426055125,3.0,0.0,0.4029978648581048,0.4029978648581048
1004,1,13898.462087438447,0.00693389757575481,0.0012169296719537217,0.009256836566284734,0.006867499257197506,0.0144689655549279,0.0026256950103428134,0.010131427652480741,2.8388466021016884e8,-1135.460406446127,7.0,1.0,0.32334822787442213,-1135.460406446127,1144.4159458303145,0.5071398236466393,2.5476245513707454,3.0,0.0,0.4029978648581048,0.4029978648581048
1005,1,14089.886392089993,0.01573208298503912,0.0025772187771000757,0.003772188054876243,0.0023103858822571864,0.0055675946534241095,0.0022455606957707155,0.005491687222573739,2.0342645126160413e8,-1136.5248127073683,7.0,1.0,0.9307968059621621,-1136.5248127073683,1137.9074193745976,0.09905102697757684,0.24818441713273387,3.0,0.0,0.4029978648581048,0.4029978648581048
1006,1,14175.101234231,0.005021857400961707,0.00769992159489991,0.016007482455293195,0.0047389396959360884,0.013749607002303823,0.006547233667334261,0.004111540954811917,2.52895377497192e8,-1134.1299659862916,7.0,1.0,1.0,-1134.1299659862916,1137.5057468244554,-0.0967412826043983,-0.22514627209420723,3.0,0.0,0.4029978648581048,0.4029978648581048
1007,1,14025.316056532829,0.016156852802491614,0.007786312846453268,0.004377738826826749,0.0036284252375797846,0.001558149715272649,0.011936791587307193,0.007989278719050367,2.0734229050460094e8,-1135.1384604948728,23.0,1.0,0.8842959607188839,-1135.1384604948728,1137.8202417639716,0.16255844014699505,0.37124552145155576,4.0,0.0,0.4029978648581048,0.4029978648581048
1008,1,14143.488269340953,0.004145815581585047,0.01088332771676072,0.00860069685331532,0.010408825911396694,0.0015616720900536356,0.0006845043048394187,0.004234474759162467,2.2299808509584484e8,-1136.7719914424226,7.0,1.0,0.9836398080345857,-1136.7719914424226,1141.16376923264,-0.2566227574475306,-0.7074546510093569,3.0,0.0,0.4029978648581048,0.4029978648581048
1009,1,14328.289079183343,0.010480165442462636,0.008508296964441674,0.01626301069767457,0.010331686519702218,0.00026013849186106076,0.0005950292093466838,0.025597849512265458,2.3767130601035306e8,-1140.0447732229,15.0,1.0,0.7358627893976529,-1140.0447732229,1143.8234075468963,0.09063721267011715,0.7118499297134804,3.0,0.0,0.4029978648581048,0.4029978648581048
1010,1,13095.681084890064,0.0034550570490835034,0.010472744105075952,0.005289473172972082,0.0006270982932920009,0.0009702629093451514,0.0007667974591545297,0.0006163179491227437,3.121638417588047e8,-1143.59511106784,7.0,1.0,0.5193313878907299,-1143.59511106784,1148.416306369219,1.0024011851126033,1.0670848023007693,3.0,0.0,0.4029978648581048,0.4029978648581048
1011,1,15316.296026324386,0.018916218743677937,0.010290761562269844,0.009345405332899164,0.024471553417296333,0.019586892013842276,0.02750265965922315,0.010176029394324179,1.2838195568721573e8,-1140.4490930816185,7.0,1.0,0.9456291190199689,-1140.4490930816185,1145.7900198449267,0.3429075938961432,-0.7604734655967604,3.0,0.0,0.4029978648581048,0.4029978648581048
1012,1,15602.404848147571,0.009310032435665165,0.009020223604795154,3.888101137886173e-5,0.019842510028636372,0.0022433933493878075,0.01538132490028951,0.01116285857073485,1.6760640186896592e8,-1141.8421802061162,15.0,1.0,0.43331023835709526,-1141.8421802061162,1150.9374166324299,-0.05385752152255918,3.1477882266622146,4.0,0.0,0.4029978648581048,0.4029978648581048
1013,1,15602.404848147571,0.009310032435665165,0.009020223604795154,3.888101137886173e-5,0.019842510028636372,0.0022433933493878075,0.01538132490028951,0.01116285857073485,1.6760640186896592e8,-1141.8421802061162,7.0,1.0,0.0032860308343396483,-1141.8421802061162,1151.2844944596784,0.0,7.058503700599431,3.0,0.0,0.4029978648581048,0.4029978648581048
1014,1,12383.275706735694,0.01035055699278125,0.004769950812360299,2.396881056773417e-5,0.0029414005273894596,0.00176041344932386,0.0024608387758052503,0.006464743793573027,3.067069540575247e8,-1146.191373681586,7.0,1.0,0.9686082262764252,-1146.191373681586,1147.2042024581792,0.1404756644135432,-0.24507098304616193,3.0,0.0,0.4029978648581048,0.4029978648581048
1015,1,13941.863083447743,0.0136589543914043,0.019813019957702155,0.00020859555562407854,0.019116651591382185,0.0017152995664823107,0.017801539684807702,0.013211386577278978,3.279864206508882e8,-1140.316930048638,15.0,1.0,0.9933346955680747,-1140.316930048638,1150.3687781235817,-1.7802070822122005,-1.7802070822122005,4.0,0.0,0.4029978648581048,0.4029978648581048
1016,1,14348.144744864625,0.015956924365996588,0.010456835603649264,0.0008704489445875633,0.009525029085133594,0.0024028831646964216,0.010683082772249056,0.005890604510652382,2.495305129013385e8,-1135.810430197052,7.0,1.0,0.43950490609926857,-1135.810430197052,1144.391802494726,0.7791080975732712,3.3552409027026897,3.0,0.0,0.4029978648581048,0.4029978648581048
1017,1,16165.972451929998,0.007671049294211883,0.009396097085753854,0.001490744653209978,0.012715591592756474,0.015371725889065754,0.005464619294257314,0.020670294845944986,1.5458704055158734e8,-1139.1840191082206,7.0,1.0,0.9571471896338636,-1139.1840191082206,1142.146435057201,-0.05619966794756692,0.19060934749904845,3.0,0.0,0.4029978648581048,0.4029978648581048
1018,1,15661.788853094024,0.009269816121022297,0.012056658083452328,0.008002929834448844,0.005165929004034289,0.008041901651990604,0.014978108375887983,0.0036909296095936077,3.050777423656813e8,-1136.1796606028927,7.0,1.0,0.9819037847028714,-1136.1796606028927,1142.4027147173986,-0.17200542998079982,-0.24621157385286097,3.0,0.0,0.4029978648581048,0.4029978648581048
1019,1,14405.772399894407,0.02562244855185535,0.006550683695727557,0.004614703324649391,0.012360701429438391,0.011259122506537662,0.006789824925139443,0.003111367820118526,3.012194941219989e8,-1136.1290124414163,7.0,1.0,0.8533976774972027,-1136.1290124414163,1140.675325175259,0.21258352071049558,0.3132234744496145,3.0,0.0,0.4029978648581048,0.4029978648581048
1020,1,13737.754815937475,0.0021554598340137354,0.0062706731956651204,0.0013364339783760238,0.0024470095529391628,0.006814420711887508,0.0070189192897125606,0.014262380140644204,1.9411961738941193e8,-1136.5401965716364,7.0,1.0,0.9591152155158351,-1136.5401965716364,1139.5809350169147,-0.3002460873160544,-0.49612102634068833,3.0,0.0,0.4029978648581048,0.4029978648581048
1021,1,13072.494872596817,0.011487930160556742,0.012309267844950468,0.00013624110784671216,0.01836991400445768,0.013195655511373146,0.003512903985417508,0.0005525861676068449,1.2743350492943558e8,-1142.6823448226992,7.0,1.0,0.642067367019007,-1142.6823448226992,1147.1565723407177,0.40533796232671193,1.146026844617154,3.0,0.0,0.4029978648581048,0.4029978648581048
1022,1,13841.549424406117,0.007338016291666907,0.005452321138185792,0.00024459039201159906,0.0034380449928523116,0.0033924807653363557,0.014519499811657828,0.029536707420037785,3.295777124892622e8,-1141.3430991840326,7.0,1.0,1.0,-1141.3430991840326,1145.8741789804467,-0.510339831269448,-1.2120079531594001,3.0,0.0,0.4029978648581048,0.4029978648581048
1023,1,14413.992981915575,0.01485686330250358,0.013547210810669699,0.00013803113910213454,0.004965127440148174,0.003575077710724252,0.005202105916115338,0.0006711449151028592,1.321654399412532e8,-1140.6960380858234,7.0,1.0,1.0,-1140.6960380858234,1143.8615568972548,-0.6311369705788366,-0.9512266070200894,3.0,0.0,0.4029978648581048,0.4029978648581048
1024,1,14357.69598027089,0.0025192987395397273,0.00603066185930371,0.03067748329012888,0.010049612508742783,0.002908483260685148,0.014480606736561779,0.0168823379105491,3.426120620074909e8,-1140.0930327662097,7.0,1.0,0.9563811685056558,-1140.0930327662097,1144.668816637776,-0.7085032110219345,-0.7085032110219345,3.0,0.0,0.4029978648581048,0.4029978648581048
1025,1,14331.914500018005,0.003970138745517723,0.004036191788277764,0.001366801678423243,0.0034024552304007046,0.02486683201972682,0.0007656725259428767,0.005158941439084365,1.240154638472591e8,-1140.5686339484046,7.0,1.0,0.9928028978130178,-1140.5686339484046,1145.0119736030463,0.05169307461414974,-0.357902396927102,3.0,0.0,0.4029978648581048,0.4029978648581048
1026,1,13421.744790729563,0.014750069229637794,0.013900796745215417,0.012357464498938734,0.013250835097394397,0.002189825756560928,0.0036727449595827413,0.006948655881725973,3.266049346457546e8,-1136.1272811203744,7.0,1.0,1.0,-1136.1272811203744,1141.8547398301016,-0.4541485589495551,-0.4541485589495551,3.0,0.0,0.4029978648581048,0.4029978648581048
1027,1,14845.413478425742,0.0037065065759718636,0.004028419090985091,0.005812032411682816,0.00692163667131207,0.00259601028374437,0.01873135993110482,0.0030121005517548313,1.747328529247567e8,-1136.6317285077907,7.0,1.0,0.8112492705311024,-1136.6317285077907,1141.9959862734306,0.01693542704583706,0.6064197074272215,3.0,0.0,0.4029978648581048,0.4029978648581048
1028,1,14739.15196445346,0.004037428706293129,0.004033377067180161,0.006737025790002213,0.003983191695226788,0.004392562046101874,0.029901619485707447,0.0025531421117290713,2.3495722694278124e8,-1138.496995967119,7.0,1.0,0.709048335724871,-1138.496995967119,1141.4686484384558,0.8411313171163783,0.8411313171163783,3.0,0.0,0.4029978648581048,0.4029978648581048
1029,1,14197.579620473382,0.0032668428368064287,0.005453670026945839,0.010371076910343018,0.01752409610523369,0.006543041706811532,0.003812345752679504,0.006780394936416231,2.969489309355264e8,-1134.9088050334249,7.0,1.0,1.0,-1134.9088050334249,1139.1852506528294,-0.559424229754768,-0.8059308379681625,3.0,0.0,0.4029978648581048,0.4029978648581048
1030,1,13806.570224673032,0.010210859480041926,0.014719779547003278,0.008000254603889274,0.0034603694186989783,0.0032241043822784404,0.017491115675158438,0.006614887263669617,1.9953241927587414e8,-1134.571209748942,7.0,1.0,0.9795055835411992,-1134.571209748942,1137.5009042060428,-0.04833281187279681,0.1056419574474603,3.0,0.0,0.4029978648581048,0.4029978648581048
1031,1,14393.627318068284,0.009685246174682636,0.003843930851042674,0.012046037961947864,0.016869133631518176,0.015923958272736714,0.004550521886004577,0.006531148279218456,2.551232983301882e8,-1134.2858587100218,7.0,1.0,0.963222678114031,-1134.2858587100218,1135.7787804355687,0.0012384670221763372,0.16020614910280528,3.0,0.0,0.4029978648581048,0.4029978648581048
1032,1,13102.760411079782,0.0012773346594541237,0.013446378916082151,0.00972976196250889,0.004973639673632559,0.0007816761028653909,0.008056604101396561,0.0029457669820020967,3.3097944517140555e8,-1139.6764234307307,7.0,1.0,0.6591430027308204,-1139.6764234307307,1142.2476492516012,0.4657994413225879,0.4803325492782733,3.0,0.0,0.4029978648581048,0.4029978648581048
1033,1,13326.878410966247,0.0010488653741905565,0.015288349005065757,0.010660545185397734,0.0183990329098049,0.0007698831985715039,0.00331789503487359,0.0012092839246280334,2.886674382695546e8,-1140.276874172812,15.0,1.0,0.9900120778927032,-1140.276874172812,1142.861850263516,-0.12303895141326393,-0.6746264016085206,3.0,0.0,0.4029978648581048,0.4029978648581048
1034,1,13399.26586676592,0.003344714353623319,0.00709732771171709,0.011152266023785197,0.004296794041887533,0.0008430148923051088,0.008310323531804121,0.0032921574310179804,3.149074027567643e8,-1137.4615604655687,7.0,1.0,0.9813336533852546,-1137.4615604655687,1143.0191848231648,-0.055724371411770335,-0.17668477704455654,3.0,0.0,0.4029978648581048,0.4029978648581048
1035,1,15101.544589518257,0.02022383798171066,0.012372708189505931,0.0067382574894644005,0.006645459506968736,0.0005760547458601714,0.007015684805218912,0.00019112434311808267,2.2181097041409215e8,-1140.3111568497216,31.0,1.0,0.9039255114238681,-1140.3111568497216,1147.2502659261056,-0.028826123199678477,-2.5487988418010445,4.0,0.0,0.4029978648581048,0.4029978648581048
1036,1,14814.952491843327,0.013402858852366195,0.015403439534292091,0.006689316483081279,0.019838643456756216,0.0008914998468055657,0.011454247307894922,0.00011111504961328707,1.882242447217865e8,-1140.2631797909407,15.0,1.0,0.7443374838133088,-1140.2631797909407,1145.316987017046,-0.6315941046332227,2.134851487727701,3.0,0.0,0.4029978648581048,0.4029978648581048
1037,1,13561.087370250301,0.0064307642676225876,0.0036245689116848803,0.012841071293168945,0.002434350664264958,0.00209042118906808,0.008781738728905147,6.047688952403436e-5,2.533876117482561e8,-1140.1180168774326,7.0,1.0,1.0,-1140.1180168774326,1141.7836294513859,-0.05225531572205,-0.1673754408784589,3.0,0.0,0.4029978648581048,0.4029978648581048
1038,1,13873.079439306206,0.013672664783788991,0.02187873908210501,0.009119180439940054,0.019274687876494827,0.02075820243836638,0.004535907875953573,3.857429501067062e-6,1.6971252892061964e8,-1143.4416267274864,7.0,1.0,1.0,-1143.4416267274864,1146.100345276335,-0.17980755132339254,-0.18290029295599197,3.0,0.0,0.4029978648581048,0.4029978648581048
1039,1,15145.129644540239,0.00922607549695572,0.003640823566832078,0.011236621125718759,0.004028891427504525,0.0027383704366031845,0.0004905596651912681,1.480959991253467e-5,2.8426906373331875e8,-1144.0197802151126,15.0,1.0,0.5743394955517773,-1144.0197802151126,1150.325314289732,0.18931386820213447,11.694962001490921,3.0,0.0,0.4029978648581048,0.4029978648581048
1040,1,14626.964754124063,0.018468811110841154,0.005318358397459496,0.00924279249537787,0.007864965627109526,0.0044711268373220795,0.0005398524726898922,6.999371672405903e-6,2.966184067345555e8,-1143.4786689858015,15.0,1.0,0.5612824435979002,-1143.4786689858015,1150.141930907666,-0.15025993337167165,7.202004652454207,3.0,0.0,0.4029978648581048,0.4029978648581048
