iteration,chain,σ,Q1,Q2,Q3,Q4,Q5,Q6,Q7,r,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
1001,1,9626.57762936679,0.10944187502135111,0.10517108122130615,0.10488689349335938,0.11744096002027815,0.10373787069822711,0.09281664423647949,0.10800825912369846,5.481596574644327e8,-975.0813492674728,31.0,1.0,0.9514095540920411,-975.0813492674728,981.4510225427746,-0.925680111478755,-0.925680111478755,4.0,0.0,0.7692616727997187,0.7692616727997187
1002,1,9801.91504041449,0.1088956764286832,0.09244085464506445,0.09187100781670568,0.09343887518966819,0.1003723904382885,0.0970463132625504,0.1039884368103751,8.03375949450395e8,-974.5394736066876,31.0,1.0,0.8995958544753875,-974.5394736066876,977.6160958261819,0.04644346273028077,0.3137161625797944,5.0,0.0,0.7692616727997187,0.7692616727997187
1003,1,8337.333939154609,0.1022172006426033,0.11258077666294256,0.09011153435698631,0.09362782754381614,0.09203765150849134,0.10818977726358969,0.09601074102567454,6.391779610534858e8,-976.1313460129998,3.0,1.0,0.6686712069174074,-976.1313460129998,981.3800323438071,0.18781554209635942,0.8515267825708861,2.0,0.0,0.7692616727997187,0.7692616727997187
1004,1,9710.29064165789,0.09796587500689467,0.09236156172964095,0.08063412801499031,0.09945844706609214,0.08976500927161717,0.08339209321963577,0.1150352884476964,7.942792801739498e8,-978.3379700182511,19.0,1.0,0.8150376215444026,-978.3379700182511,983.4415906739881,0.24384177464105505,0.7061428515066837,4.0,0.0,0.7692616727997187,0.7692616727997187
1005,1,8645.934471552278,0.10061128218251972,0.07477104240479159,0.12241684228242912,0.09754230237814407,0.11168385956809124,0.10556944467930952,0.0896151846673659,9.581897236112288e8,-980.8730426534012,31.0,1.0,0.883609760881043,-980.8730426534012,983.390242551168,0.4164082514448637,0.8899628656724872,5.0,0.0,0.7692616727997187,0.7692616727997187
1006,1,8599.548172920558,0.10202444215571611,0.08477223618028491,0.11073391597242663,0.11123001580643994,0.08857097842663259,0.09833602148720395,0.09213760244944295,8.575166839040835e8,-976.2752057326793,7.0,1.0,0.8656913603272262,-976.2752057326793,986.0201450771959,-0.4121409447162705,-0.7556706240085305,2.0,0.0,0.7692616727997187,0.7692616727997187
1007,1,9715.950322537112,0.10125502938867155,0.10695641142732185,0.07578135557995684,0.09666120448777207,0.10750132469163291,0.10494864283413377,0.11046718303058871,8.988559793632091e8,-977.5731555597723,7.0,1.0,0.8787257760731049,-977.5731555597723,980.6982759721659,0.14397306156513423,0.300635906450907,3.0,0.0,0.7692616727997187,0.7692616727997187
1008,1,8639.003119236017,0.09886675770104733,0.09457123765017042,0.12514846847497696,0.10447944062132053,0.09345372131451997,0.09277660208470562,0.09086403651970663,7.014379288474916e8,-976.6747032943816,15.0,1.0,0.984019792698065,-976.6747032943816,978.802449207436,-0.076499656250121,-0.5081771199133982,3.0,0.0,0.7692616727997187,0.7692616727997187
1009,1,9130.678190191991,0.10615109764025744,0.1089902411113604,0.08653464820079534,0.08674726378421263,0.10182174701595624,0.09666226554448876,0.1084048137982456,7.691003417151237e8,-974.7853145756467,3.0,1.0,0.9116584639478513,-974.7853145756467,979.9529557619994,-0.17108382410003742,0.3079182608147448,2.0,0.0,0.7692616727997187,0.7692616727997187
1010,1,9114.34437707301,0.09559526820935722,0.09285287500532272,0.11434377027685981,0.1077396163844063,0.09777015134606842,0.10085539526020637,0.09128700490842911,6.173524426152251e8,-974.08077365117,7.0,1.0,0.7290580324337993,-974.08077365117,979.3110634353649,-0.06815960271774202,0.5767015691976667,3.0,0.0,0.7692616727997187,0.7692616727997187
