iteration,chain,σ,Q1,Q2,Q3,Q4,Q5,Q6,Q7,r,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
1001,1,14864.399554166845,0.0007692427379218228,0.0014033111337525047,0.006981244529558274,0.004225055313174078,0.0009038962206762934,0.004370326796646288,0.0008584973709682879,1.6668092478314248e8,-1141.8113142819736,15.0,1.0,0.8858314034175315,-1141.8113142819736,1146.4729378133197,-0.26986723016193537,0.7521924151819803,3.0,0.0,0.3603365617341941,0.3603365617341941
1002,1,14017.028463657623,0.0004727554575960655,0.014400595079829171,0.008443576685005304,0.007048976645704107,0.015669478804190083,0.017999692102210894,0.00852783039375736,1.8122652319861278e8,-1136.1335434222228,15.0,1.0,0.9621607988973124,-1136.1335434222228,1143.8004713828648,-0.6323679137042291,-0.6323679137042291,3.0,0.0,0.3603365617341941,0.3603365617341941
1003,1,13529.421946446393,0.00562610311838313,0.009307200060536237,0.01264471122552626,0.011388746494173613,0.007767565700659686,0.0065800213225031875,0.001849938707325777,1.7422646714960796e8,-1134.7191285887125,7.0,1.0,0.8810210257097761,-1134.7191285887125,1139.408965338441,-0.0077828324394886295,1.0683646490988394,3.0,0.0,0.3603365617341941,0.3603365617341941
1004,1,16041.42242233867,0.006915681374300011,0.0006350494939251725,0.01114757029619826,0.0011714191898067451,0.0012950315829046532,0.013981720901451283,0.0024376402011966744,1.9123722231084484e8,-1142.109196822932,7.0,1.0,0.7340672035959139,-1142.109196822932,1147.3393794012072,0.26677517362963954,0.6493114102386244,3.0,0.0,0.3603365617341941,0.3603365617341941
1005,1,13753.346499278143,0.009208640248445463,0.0010637720303592008,0.00863119788037814,0.025577641538221233,0.00563006401559199,0.005528212091423486,0.007370714661557817,1.8826646243239918e8,-1137.0263454069168,7.0,1.0,0.9189270733716286,-1137.0263454069168,1146.0376493274796,-0.37100966093248644,-0.8875671019106903,3.0,0.0,0.3603365617341941,0.3603365617341941
1006,1,13029.496613123458,0.0005530333719036191,0.01733193121347467,0.007959788019480392,0.000573582119137269,0.0076948752629336535,0.010299977764847536,0.009969522271656399,2.347790225019546e8,-1139.7594025727083,7.0,1.0,0.787573235487108,-1139.7594025727083,1145.0425218147102,-0.014351699316648592,0.7069468914573918,3.0,0.0,0.3603365617341941,0.3603365617341941
1007,1,15723.151771172701,0.0020262405160900838,0.0064770908727091285,0.00799094184575569,0.0007456879014109669,0.011787679074117971,0.0039887192431121874,0.01070817124368039,1.6224876683956397e8,-1139.3637289582293,23.0,1.0,0.8515774874813922,-1139.3637289582293,1144.690998978772,0.3337837737396967,1.3796211470569233,4.0,0.0,0.3603365617341941,0.3603365617341941
1008,1,15082.421650356657,0.0014004182899241158,0.00772568190502227,0.01426967847372473,0.0012498475788015073,0.0027125285999124644,0.008352988938723108,0.0007610455796084339,1.8486734701011562e8,-1139.5339316023585,15.0,1.0,0.5772666250701565,-1139.5339316023585,1147.173990943809,0.412616290393089,7.445210486506539,3.0,0.0,0.3603365617341941,0.3603365617341941
1009,1,15065.512737403285,0.0024253615259404453,0.004599346476803038,0.01072557567959276,0.0024123807004538165,0.007441345649267996,0.006817113597610671,0.002096024130811893,1.9401031038888058e8,-1136.7486768850674,7.0,1.0,0.9114145161192282,-1136.7486768850674,1140.8132116237882,-0.05218428920898077,0.5696140694390124,3.0,0.0,0.3603365617341941,0.3603365617341941
1010,1,13674.854071298258,0.0007648759221080341,0.01680463280998989,0.00013342725752163274,0.008603424721148896,0.00988318770801761,0.011008572005210104,0.02036036270145648,1.6754488012675557e8,-1140.225075741086,7.0,1.0,0.8625135409790445,-1140.225075741086,1143.855635424697,0.11342094884093967,0.31972783588526,3.0,0.0,0.3603365617341941,0.3603365617341941
1011,1,14212.012375735596,0.00038318120552800766,0.004008817364577165,0.002102217701549452,0.010738207537172008,0.0018402290253873746,0.0028182841299357743,0.001998498755302599,2.2409358165765953e8,-1140.0250440831019,7.0,1.0,0.904782422174857,-1140.0250440831019,1143.5457673138817,0.14600626585183818,0.2749684331206481,3.0,0.0,0.3603365617341941,0.3603365617341941
1012,1,14090.699304044641,0.0006116000041837487,0.012511842115375794,0.02219140630348252,0.008715570591715358,0.021915963885758182,0.01660861045737447,0.0047134253741347235,1.6308487273080364e8,-1138.4970335329397,7.0,1.0,0.992134559234003,-1138.4970335329397,1141.5667447585515,0.05421574791944295,-0.2974559582128222,3.0,0.0,0.3603365617341941,0.3603365617341941
1013,1,13378.425184545169,0.0025486511666274374,0.0030397721135131633,0.001325448893825417,0.012140155405214209,0.006729035497875028,0.004025763134975836,0.0008832300399135825,1.5850679096877474e8,-1139.8782123363158,15.0,1.0,0.4123248656993558,-1139.8782123363158,1145.075856966866,0.7362562460762092,1.5380641736596772,3.0,0.0,0.3603365617341941,0.3603365617341941
1014,1,14771.884768444994,0.0015906571161676145,0.0032194377664287715,0.019625741787154007,0.006528790872428977,0.013031074729105042,0.01846104785414769,0.00032809979164304077,2.2684875361014962e8,-1139.6122321213206,15.0,1.0,0.613589932991045,-1139.6122321213206,1144.204444223989,-1.2566522328916108,4.033394481816231,3.0,0.0,0.3603365617341941,0.3603365617341941
1015,1,14349.699645949648,0.0017087357635635647,0.021308786492433604,0.003573869390089839,0.01358053793165937,0.008133271981596192,0.004380730346930717,0.03532768091831496,1.729272976588786e8,-1140.736351912201,7.0,1.0,0.9505743951040581,-1140.736351912201,1143.0792652257774,0.424616176150721,-0.9225580601241745,3.0,0.0,0.3603365617341941,0.3603365617341941
1016,1,14349.699645949648,0.0017087357635635647,0.021308786492433604,0.003573869390089839,0.01358053793165937,0.008133271981596192,0.004380730346930717,0.03532768091831496,1.729272976588786e8,-1140.736351912201,15.0,1.0,0.004220406062614857,-1140.736351912201,1152.251355310089,0.0,9.483115447793125,4.0,0.0,0.3603365617341941,0.3603365617341941
1017,1,14758.100824328747,0.0010044385830694199,0.0038723070658580362,0.0023618271335025774,0.0011266515849802936,0.016681731430520326,0.0018935383370383926,0.0006766908911622385,1.988540566441167e8,-1141.4563541424504,15.0,1.0,0.9225728109470308,-1141.4563541424504,1145.4644938269398,0.2417576557618304,-1.0774927469460636,3.0,0.0,0.3603365617341941,0.3603365617341941
1018,1,14570.545969042201,0.000829361474262165,0.0024731431110031035,0.006353740195382727,0.0005165309624869902,0.019268854898466765,0.001606195631226146,0.0002447072636671801,1.9726815504533884e8,-1143.303691552798,7.0,1.0,0.5782556403717515,-1143.303691552798,1149.2303477585174,0.0028266960916880635,6.001176267499886,2.0,0.0,0.3603365617341941,0.3603365617341941
1019,1,13776.678639866746,0.00663652919603774,0.015436002935693988,0.008226210798953124,0.00010112688878078403,0.003021913868456813,0.001922037700083529,0.022658960717198518,1.6183699389542186e8,-1140.9581079742745,7.0,1.0,0.9105225718926117,-1140.9581079742745,1146.078242701214,-0.9021465374732998,-0.9021465374732998,3.0,0.0,0.3603365617341941,0.3603365617341941
1020,1,13220.750335071276,0.006454977917773751,0.010488243729303352,0.01040385657793568,7.658857100496154e-5,0.015296535599415208,0.004074455569582752,0.006682380975213485,1.656718302270561e8,-1139.272797491102,7.0,1.0,0.9894893304619339,-1139.272797491102,1143.8567516835026,-0.47703206572646195,-0.7271223775696853,3.0,0.0,0.3603365617341941,0.3603365617341941
