iteration,chain,Q1,Q2,Q3,Q4,Q5,Q6,Q7,R,obj,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
1001,1,0.021085547844773178,0.0012634110610695909,0.0003315028277251069,0.00016093205604765463,0.004215046152243649,0.00173317990464714,0.0016076440664558593,1.7656024705809706e8,-0.4638105551113344,-19.923765995518977,7.0,1.0,0.9899913937499294,-19.923765995518977,24.59054246311816,0.051029935183720454,-0.8485595623465585,3.0,0.0,0.3736889725390187,0.3736889725390187
1002,1,0.01358584255056338,0.026117103264892017,0.011336914580747776,0.005173161660605475,0.0015167944707812735,0.0018062434054757473,0.0014102960668283108,1.571149511121004e8,0.4583569208165351,-15.35363984359118,15.0,1.0,0.8292755283600814,-15.35363984359118,24.136805398587,0.5638664037927654,1.2673361122509732,4.0,0.0,0.3736889725390187,0.3736889725390187
1003,1,0.00311068647597633,0.006598597963968185,0.0021544391471280885,0.005916904291236446,0.021964733293028053,0.0013698416523945831,0.001187271991974368,2.225434206635972e8,1.0680528723438407,-14.594275058581172,7.0,1.0,0.5300069694306955,-14.594275058581172,22.17619038348915,0.555469009783728,1.4541627741825067,3.0,0.0,0.3736889725390187,0.3736889725390187
1004,1,0.01034120684963284,0.00445136382152925,0.02038333986603631,0.013905563679459797,0.000504110800738747,0.004778252116189864,0.0015415590698729714,1.7690927602200913e8,-1.5887342369975315,-14.579119293207787,23.0,1.0,0.6364325641389065,-14.579119293207787,18.865780300784273,0.458082404742548,1.2609266525742058,4.0,0.0,0.3736889725390187,0.3736889725390187
1005,1,0.005755355258748521,0.02308574041807201,0.0025214404618696972,0.007402862738574856,0.0003305495302283476,0.0020621533346885552,0.0015412119921624848,1.5280764161462572e8,-0.34790361812178006,-17.626915293897998,7.0,1.0,0.7713160168538513,-17.626915293897998,20.91573833997573,0.29108838325849007,0.4887901326382327,3.0,0.0,0.3736889725390187,0.3736889725390187
1006,1,0.013476219379866188,0.0032736267155410656,0.016279094692328553,0.00034952863424339694,0.0018944320449347522,0.00484955986247396,0.003542494783425413,2.1058914244532385e8,-0.529225272683947,-13.711100184278262,7.0,1.0,0.9025210833705761,-13.711100184278262,21.757604709813513,-0.20650715193986713,1.1468127384320645,3.0,0.0,0.3736889725390187,0.3736889725390187
1007,1,0.006020739299830966,0.011996032748716178,0.0039041001154183287,0.0009478638131383748,0.01753780582966584,0.011913475655940742,0.002368482140948604,2.082856512246041e8,-0.31043807655928607,-11.599417767309996,7.0,1.0,0.9540081927828119,-11.599417767309996,15.93335243351035,-0.10704804420685932,0.23389818071859736,3.0,0.0,0.3736889725390187,0.3736889725390187
1008,1,0.008069354252820274,0.00692790958708295,0.009337643373489706,0.013755488814105505,0.002197053431726805,0.009142823737362681,0.01277040586224038,1.9005844067919624e8,1.815946341649982,-10.534303429754393,7.0,1.0,0.8326732426026612,-10.534303429754393,16.633031266686736,0.21337187960235582,0.7388467087574568,3.0,0.0,0.3736889725390187,0.3736889725390187
1009,1,0.013919275467206957,0.016071506465906382,0.016029205743010495,0.012923243178175224,0.011454822116509205,0.004017002963250315,0.0005429749212632069,1.801615652899545e8,2.7812976841568884,-15.27457354915255,7.0,1.0,0.8024849764480421,-15.27457354915255,25.59903131807992,-0.986051958754647,1.5058755642040111,3.0,0.0,0.3736889725390187,0.3736889725390187
1010,1,0.005167181654178083,0.01557148767253029,0.0009770451185586524,0.0076847991640119915,0.008002347613734504,0.015176964527528826,0.00037947266217517337,2.1983023908899313e8,2.5354206490446147,-16.326645761662554,15.0,1.0,0.8421353956440485,-16.326645761662554,22.635123943984865,-0.007913369602860598,0.9833047420532957,4.0,0.0,0.3736889725390187,0.3736889725390187
1011,1,0.007648044886981643,0.003080536634531276,0.020664803029884132,0.01054516175845021,0.007487492873231598,0.00746395463276142,0.0010505762657208623,1.8237042413054654e8,-1.7012381900034406,-12.62119039936027,7.0,1.0,0.975117629681662,-12.62119039936027,17.74430142021293,-0.274910736892668,-0.274910736892668,3.0,0.0,0.3736889725390187,0.3736889725390187
1012,1,0.01572393172450461,0.0051799028321884,0.007514657320909949,0.016245178482872796,0.010805834999820784,0.013523043330681654,0.016445327869657383,2.0333519302558684e8,-2.2811564105226645,-11.52973041526511,7.0,1.0,0.8074866108059833,-11.52973041526511,17.235868332555132,-0.4592486191038283,0.9766665983746421,3.0,0.0,0.3736889725390187,0.3736889725390187
1013,1,0.003690810072975425,0.022070085629490456,0.01589833645315544,0.006907634181464512,0.0064937470697992265,0.007186039417429426,0.00311006199471239,2.127377113701787e8,-1.9953863562137264,-12.574352311667926,7.0,1.0,0.9419505109303662,-12.574352311667926,15.54742015503505,0.057993006794289315,0.21738503430266753,3.0,0.0,0.3736889725390187,0.3736889725390187
1014,1,0.00675301682436406,0.003895490531176148,0.0071249613323069606,0.016771660661401427,0.006528796978039515,0.013415340535437784,0.017979716554773643,1.738486323252049e8,-1.086413951205967,-10.265077699279459,7.0,1.0,1.0,-10.265077699279459,15.28072741259252,-0.8038359034345195,-0.9895643840323043,3.0,0.0,0.3736889725390187,0.3736889725390187
1015,1,0.006896961661460971,0.00776639265305155,0.001506699617833787,0.004613435190002424,0.009798520068851927,0.004392928140538294,0.0007743800105400715,2.2955861942169622e8,0.6243572023390136,-12.475064021501064,7.0,1.0,0.6373425864843973,-12.475064021501064,16.732410622364167,0.49275654018103765,0.832413420506704,3.0,0.0,0.3736889725390187,0.3736889725390187
1016,1,0.013580685785824302,0.007634230483607743,0.0012889084519170076,0.0007753358072978669,0.003026691023915658,0.014859946396945666,0.0009050920162130837,1.885580724215298e8,-1.6448463214274087,-15.484563487662184,7.0,1.0,0.9176638266343661,-15.484563487662184,19.47066929629917,-0.8105188180431924,-1.2320597561952589,3.0,0.0,0.3736889725390187,0.3736889725390187
1017,1,0.007998762302061854,0.00816099156781607,0.0026967574157760127,0.0015296522274168898,0.008331903496500386,0.011064358039624026,0.0019223836745951791,2.295601909216818e8,-0.697487837421101,-11.624556829873642,7.0,1.0,0.9895751142542242,-11.624556829873642,17.386304161152978,-0.09078169510090461,-0.15370559801088035,2.0,0.0,0.3736889725390187,0.3736889725390187
1018,1,0.005476445930480915,0.01887313692624709,0.001140066156786263,0.013059352975716887,0.005720590022733038,0.0193000305448969,0.0027075646673201067,2.30276549114068e8,-0.9764042387440673,-12.817966046305123,23.0,1.0,0.9583167333479782,-12.817966046305123,16.47258234757689,-0.056223390902939485,0.2766484942746885,4.0,0.0,0.3736889725390187,0.3736889725390187
1019,1,0.002145520897422376,0.003252138066971389,0.0021808171850577498,0.009953578694814787,0.019890201329477847,0.004453462269352955,0.02152996263500675,2.0870711324054825e8,-1.2419052943005884,-13.286067310418048,7.0,1.0,0.9557196163386131,-13.286067310418048,16.699130707261116,0.02546854163608714,0.18912826373892244,3.0,0.0,0.3736889725390187,0.3736889725390187
1020,1,0.02353889794414725,0.02147751568614405,0.020189758445014108,0.01021948503584348,0.0037754437943329252,0.0031045562725828617,0.001463281845224856,2.107352395885911e8,-1.4959908504497414,-14.6247156834415,7.0,1.0,0.9309580065268797,-14.6247156834415,17.292114682491356,0.20950396510891522,0.23778114061106237,3.0,0.0,0.3736889725390187,0.3736889725390187
1021,1,0.0024640514791010645,0.002291987592303371,0.005166843012757986,0.009836571460884912,0.018966265544937706,0.008670928765707974,0.0006884042136057763,2.2569704392979783e8,-0.5851651867243554,-12.992091454145495,7.0,1.0,1.0,-12.992091454145495,18.57668612248321,-0.2552637544164398,-0.3500294161097841,3.0,0.0,0.3736889725390187,0.3736889725390187
1022,1,0.00990505639456337,0.0007614357949611763,0.006957488248663794,0.017832301004829694,0.005664003841281468,0.005253788080180998,0.0013192062891015132,1.783986164928667e8,0.8790712049569684,-12.765920002954633,15.0,1.0,0.7399924515071863,-12.765920002954633,17.396748232047763,0.18012188651111316,0.7392262172778388,3.0,0.0,0.3736889725390187,0.3736889725390187
1023,1,0.007358482457370202,0.012802098397181204,0.008880468675862764,0.003933142190844303,0.015584701811131387,0.016344614951231604,0.007753735058317507,2.216831621845352e8,-0.024644481230823023,-9.01110446182686,7.0,1.0,0.9961864576351864,-9.01110446182686,14.282773122605057,-0.14714988402430862,-0.3296712167037512,3.0,0.0,0.3736889725390187,0.3736889725390187
1024,1,0.016553006421688207,0.005297173947025163,0.007385989817660788,0.009476001803549601,0.004190949944396437,0.0010688074359284075,0.005099451795301573,1.6882542315279576e8,0.014827558565691968,-11.150441784396058,7.0,1.0,0.6068450669019735,-11.150441784396058,13.070601618690393,0.5449470621359822,0.6866804308657652,3.0,0.0,0.3736889725390187,0.3736889725390187
1025,1,0.00016830177721295154,0.013421748920993029,0.01043020705113676,0.00977173618843215,0.013255323385400565,0.00422471478470889,0.005250653151386868,2.1586484817827848e8,0.908534986609484,-12.484588056824997,7.0,1.0,0.39898172413089367,-12.484588056824997,17.24553385611495,0.47240020288694495,11.134230122860792,3.0,0.0,0.3736889725390187,0.3736889725390187
1026,1,0.000504548928092311,0.02097071653909474,0.007758563863829269,0.004119563166925717,0.013709642087527927,0.008955482585921748,0.0080607383671533,2.067073643206815e8,0.7190696407234393,-11.875726036625464,7.0,1.0,0.8279417550079443,-11.875726036625464,14.830165293273227,0.08623625967181248,3.309041103405356,3.0,0.0,0.3736889725390187,0.3736889725390187
1027,1,0.03384797757091019,0.0030237981168504758,0.0012110731405346976,0.018692590653855343,0.0014004388177962098,0.007904283747624618,0.010599469309914948,1.846315474152151e8,1.2208433728956616,-16.82533528475387,7.0,1.0,0.7106624057614656,-16.82533528475387,20.015254470649353,2.1192661525611953,2.1192661525611953,3.0,0.0,0.3736889725390187,0.3736889725390187
1028,1,0.0003987535505449059,0.012958524178109918,0.0006256871114174125,0.004252063675014568,6.985121812715305e-5,0.006368779002698945,0.00819871580540575,2.174578764975361e8,-1.0231920353122925,-18.247212885731066,7.0,1.0,1.0,-18.247212885731066,22.660256915225187,-1.2438796140058592,-1.3571921536034068,3.0,0.0,0.3736889725390187,0.3736889725390187
1029,1,0.00038031795408870867,0.013702303518211712,0.0008315288084613043,0.005593053906037223,0.00011777479113976886,0.020854075170543985,0.007379017641218086,2.244427595966794e8,-0.8694646797820436,-18.16524119547375,31.0,1.0,0.21921764008355865,-18.16524119547375,21.89119143820939,-0.5401136862441689,20.337776497484874,4.0,0.0,0.3736889725390187,0.3736889725390187
1030,1,0.00720143588169445,0.0072822108596399355,0.000742426806066166,0.016043594662386633,0.0016386044191530904,3.304384883100503e-5,0.008446218000699042,1.6206936460898513e8,-0.3246178383364605,-17.484474663405287,15.0,1.0,0.12733011468635907,-17.484474663405287,25.77912412615042,1.3667397022347814,50.41253021106401,4.0,0.0,0.3736889725390187,0.3736889725390187
1031,1,0.00810563837332103,0.0069884198818781895,0.0006584215000712473,0.00983176661883635,0.0020323581593388166,1.4676117514851716e-5,0.007963323457887332,1.6660569128295004e8,0.39517411669089764,-17.637281027348628,15.0,1.0,0.9866172723944852,-17.637281027348628,22.19489944248531,0.008532213931893295,-2.047570267764698,3.0,0.0,0.3736889725390187,0.3736889725390187
