iteration,chain,σ1,Q1,Q2,Q3,Q4,R,g,P11,alpha,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,0.5630635103375207,3.3613252884469303e-9,5.154575797637346e-7,5.089130480860917e-7,0.00011028250889462875,0.10496481188039763,9.799698498625423,1.0040788144599901,0.9946205761861356,-135.84379956840561,63.0,1.0,0.9688516567285093,-135.84379956840561,141.95946805495578,-0.5713955321085962,-0.6335197122795933,6.0,0.0,0.8000902726678718,0.8000902726678718
502,1,0.5749283054276993,3.4858679843319616e-9,5.020382472334016e-7,4.940655845949386e-7,0.00010243865735732364,0.10491415536879949,9.820898377514341,1.019961045715412,0.9940497558695763,-135.090608461508,31.0,1.0,0.9352741413455803,-135.090608461508,137.9674450246813,-0.1136791794256169,0.2791098018664968,4.0,0.0,0.8000902726678718,0.8000902726678718
503,1,0.5570691768727838,3.372009622323239e-9,5.164858297280515e-7,4.959103779543612e-7,8.660024478907653e-5,0.11241173381405126,9.847470756396348,1.0934411225290843,0.9918211946179412,-139.43731466638917,3.0,1.0,0.40126140659091253,-139.43731466638917,145.658220741928,0.6704047314975128,1.4551690672184634,2.0,0.0,0.8000902726678718,0.8000902726678718
504,1,0.5576720892704381,3.389322462586846e-9,5.010328658402821e-7,5.019039177892085e-7,8.772171166252867e-5,0.12016672648985416,9.844861191978683,1.0171027387203295,0.9985948996122767,-138.25407523223612,15.0,1.0,0.9966905436963565,-138.25407523223612,141.96241813569637,-0.15678232593521102,-0.47672255421895215,3.0,0.0,0.8000902726678718,0.8000902726678718
505,1,0.5720909415051441,3.1696921627884223e-9,4.952861522915125e-7,5.109607610789979e-7,0.00010704006742875803,0.09165471765362825,9.811574642850413,1.0920263900352536,0.98286599177302,-137.7057411774945,7.0,1.0,0.9232724495331246,-137.7057411774945,142.14471165754304,0.011474506194190326,0.31849637234586226,3.0,0.0,0.8000902726678718,0.8000902726678718
506,1,0.5677183712592591,3.461512150901256e-9,5.007691457265679e-7,4.83456073880911e-7,9.512587908905176e-5,0.11546485918027817,9.818908629020259,1.128136506488962,1.0009495276072289,-137.30969053529816,31.0,1.0,0.8940372491344124,-137.30969053529816,141.1365177594287,-0.016687401686397152,0.7378198239456708,4.0,0.0,0.8000902726678718,0.8000902726678718
507,1,0.5844702712207507,3.474518005630203e-9,5.22215967129923e-7,5.011179177331076e-7,0.00011071444267410478,0.10101807627884793,9.83733161944624,1.1632907311585106,0.9994889807169496,-140.94120519140247,27.0,1.0,0.6917534013892104,-140.94120519140247,144.35984278484926,0.6568046593477277,1.152820393682731,4.0,0.0,0.8000902726678718,0.8000902726678718
508,1,0.5546884295964827,3.1965541154947098e-9,4.7301450033233834e-7,5.037335980732928e-7,9.35406626126346e-5,0.09920591663207608,9.80098486452306,0.923559438322828,1.003526597204503,-140.90114428762448,11.0,1.0,1.0,-140.90114428762448,143.1639454764077,-0.19740252575633122,-1.1523425663225737,3.0,0.0,0.8000902726678718,0.8000902726678718
509,1,0.5801770365932737,3.41805050120796e-9,5.130778941737876e-7,4.913745665328462e-7,0.00010873618439922385,0.10108864708596337,9.798594639418067,1.0075506902164957,1.0014105976779137,-136.0421020435923,15.0,1.0,0.940863669750575,-136.0421020435923,142.7651997655908,-0.9433204931746104,-1.1319447313467208,3.0,0.0,0.8000902726678718,0.8000902726678718
510,1,0.5817785843062089,3.521984599338254e-9,4.858811786736694e-7,5.021442573192282e-7,0.00010376693401585038,0.10965480700845981,9.823586969849206,1.156365974643374,1.0024125729586753,-138.87667196411485,3.0,1.0,0.5436209234058894,-138.87667196411485,141.85849114488633,0.7181594779189027,0.8094601612311578,2.0,0.0,0.8000902726678718,0.8000902726678718
511,1,0.5564103245021444,3.1626905531419427e-9,5.06220048898375e-7,4.983347236220065e-7,8.733550878125553e-5,0.09217050148635247,9.81400344927791,1.0777723241822177,0.9875047783812658,-138.21944269895707,39.0,1.0,0.9926569715968435,-138.21944269895707,141.7333053582733,-0.7782511518949775,-1.343135751335609,5.0,0.0,0.8000902726678718,0.8000902726678718
512,1,0.5545325948112725,3.1577484737571517e-9,5.06277379015571e-7,5.119631974113754e-7,8.742628289218572e-5,0.09372303012816444,9.814858697348365,1.001898870704827,0.98712682882717,-139.19978055446293,31.0,1.0,0.930601641112812,-139.19978055446293,140.96897924474789,0.19039862978675615,-0.5504151165663131,4.0,0.0,0.8000902726678718,0.8000902726678718
513,1,0.5738353568176683,3.430598419213292e-9,4.804786636773827e-7,5.015573699543535e-7,0.00010627978151542729,0.1092613545599373,9.809976080811555,1.105649843413292,1.0143914247462251,-137.7397514104672,127.0,1.0,0.7367282927281925,-137.7397514104672,146.72200992332745,-0.2038184290412346,1.1629816996960756,7.0,0.0,0.8000902726678718,0.8000902726678718
