iteration,chain,σ1,Q1,Q2,Q3,Q4,R,g,P11,alpha,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,0.5705759199155495,3.4101646648228995e-9,5.138267438462045e-7,5.121772490448832e-7,0.00010862165401887804,0.08835784884628563,9.833055633471036,1.1504976794037776,1.0091435533363544,-138.88153350024385,11.0,1.0,0.9708759868235798,-138.88153350024385,144.88971560503524,-0.26451395808385314,-1.2990488453136777,3.0,0.0,0.888473390864296,0.888473390864296
502,1,0.5653514279334467,3.314726959894101e-9,5.091964581419422e-7,5.113339452849583e-7,0.00011360687800340718,0.0950612380104031,9.769817091434321,0.994294428957506,0.9776140819875925,-140.04423143677903,3.0,1.0,0.7974929939335578,-140.04423143677903,145.65577372608925,0.04112941860634578,0.8375394803172469,2.0,0.0,0.888473390864296,0.888473390864296
503,1,0.5540902468724447,3.3606683311398565e-9,5.022518062629688e-7,5.064608645052842e-7,0.00011760840952236483,0.10339142721531876,9.821268069205782,1.0862618912211188,0.9878802620734113,-137.30202941051118,3.0,1.0,0.9182199853305372,-137.30202941051118,142.89999671832294,-0.4848367213691347,-0.4848367213691347,2.0,0.0,0.888473390864296,0.888473390864296
504,1,0.597831154154669,3.385734142250442e-9,4.972402717916108e-7,4.964923322697577e-7,8.703880311136283e-5,0.10221076146685,9.801132688319266,0.9856725814741634,1.0113605409721629,-139.94667231680123,11.0,1.0,0.7530078042873577,-139.94667231680123,142.17373804485317,0.721041112771502,1.0423118816873114,3.0,0.0,0.888473390864296,0.888473390864296
505,1,0.5428897145444512,3.28780951815998e-9,5.02809942452748e-7,5.065348889918548e-7,0.00011771076661858327,0.09646650811435539,9.821117489157109,1.0954233284585828,0.9796930904301393,-142.12309775196485,7.0,1.0,0.9088077577342067,-142.12309775196485,143.43981447961173,0.4206958201244504,-1.1108032867412305,2.0,0.0,0.888473390864296,0.888473390864296
506,1,0.5584799226817985,3.3098646171006317e-9,4.899254697333178e-7,4.981771972797804e-7,0.00011286361824558874,0.10436194693888418,9.806481647897835,0.9861154325905914,0.9894848108899079,-135.89871419945166,3.0,1.0,1.0,-135.89871419945166,142.40948020953311,-1.5296117156069897,-1.5296117156069897,2.0,0.0,0.888473390864296,0.888473390864296
507,1,0.5666703044899601,3.435234373548795e-9,4.859356001947327e-7,5.164068725767892e-7,0.00010381416698440214,0.1207262951218662,9.804415323463484,0.9257758470357152,1.0002613828414275,-139.13925720451005,3.0,1.0,0.46038770552456726,-139.13925720451005,143.18257596378473,0.6060731283739358,0.8994950477542432,2.0,0.0,0.888473390864296,0.888473390864296
508,1,0.5787904482144016,3.409283628228279e-9,4.990665002540406e-7,4.790503687101046e-7,9.62814344513058e-5,0.08456617716514268,9.850382318369883,1.1647318160424405,1.009271333382697,-142.08822993363748,3.0,1.0,0.7598263823000323,-142.08822993363748,146.1106181380323,0.551368968631408,0.551368968631408,2.0,0.0,0.888473390864296,0.888473390864296
509,1,0.5671224788326813,3.4432240945008107e-9,5.218729925042371e-7,4.882820881121931e-7,9.437161262650508e-5,0.08851883924732445,9.854602820726889,0.9992956474438202,1.0132874807830246,-141.35664464379872,7.0,1.0,1.0,-141.35664464379872,146.78813015761187,-0.6629403552495887,-0.9667687116266848,2.0,0.0,0.888473390864296,0.888473390864296
510,1,0.5690687053875451,3.122839130976884e-9,4.861050516128308e-7,5.099264535140244e-7,9.928308141021035e-5,0.1105564219366411,9.808557074980586,0.9369121678787857,0.9841885874715117,-139.4837193278161,11.0,1.0,0.9531707983017751,-139.4837193278161,144.71879251877192,-0.31820169304103274,-1.053692927756174,3.0,0.0,0.888473390864296,0.888473390864296
