iteration,chain,σ1,dt,R,g,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
1001,1,0.5715194151087265,0.009384868241240931,0.08587094507429585,9.791444102453534,-151.40286296582613,3.0,1.0,0.616005921877378,-151.40286296582613,153.31378532205946,-0.20564367409087936,1.2207048858782912,2.0,0.0,0.8696515369768335,0.8696515369768335
1002,1,0.5613677208267435,0.009808212029200007,0.09228374627729359,9.792756712415962,-152.26318145828037,7.0,1.0,0.7546101998205001,-152.26318145828037,153.64208131137025,0.1652707764440038,0.9046608667055125,2.0,0.0,0.8696515369768335,0.8696515369768335
1003,1,0.5818015890999474,0.008419797725893442,0.10193041637889726,9.823330422505796,-150.62976723377216,3.0,1.0,0.9413017155392809,-150.62976723377216,153.07767132458127,-0.775603330266847,-0.775603330266847,2.0,0.0,0.8696515369768335,0.8696515369768335
1004,1,0.570008019231518,0.00887803658305461,0.11352510323040331,9.804543816897542,-150.33220753294646,3.0,1.0,0.8837351686474525,-150.33220753294646,152.06200783369604,-0.16235882646361688,0.23618929424355883,2.0,0.0,0.8696515369768335,0.8696515369768335
1005,1,0.5734505605381214,0.009414326202872754,0.09101994694166758,9.808416673077804,-150.3077671104663,3.0,1.0,0.9396461553456867,-150.3077671104663,151.01177340619543,0.061755347608141165,0.11411476649388419,2.0,0.0,0.8696515369768335,0.8696515369768335
1006,1,0.5514316241681932,0.008538194557129807,0.11323851241897491,9.792497315737007,-153.76418429506538,3.0,1.0,0.6016141299420122,-153.76418429506538,154.30971323808492,0.7343192098776115,0.7343192098776115,2.0,0.0,0.8696515369768335,0.8696515369768335
1007,1,0.596166733746369,0.009752115197821955,0.0968342594246908,9.820815771810834,-153.74910415828944,15.0,1.0,0.29046847640665197,-153.74910415828944,156.85612449698337,0.42674590883729024,7.257527870433165,3.0,0.0,0.8696515369768335,0.8696515369768335
1008,1,0.5818080872215589,0.009206604319696634,0.09663107706522926,9.80136929731372,-150.28705698141013,7.0,1.0,0.3297116792192155,-150.28705698141013,154.15262993141113,-0.7010006002116711,2.12377890071474,2.0,0.0,0.8696515369768335,0.8696515369768335
1009,1,0.5691304146821475,0.009447820003528087,0.1018067295618787,9.821412395049032,-149.98468347560558,7.0,1.0,0.8928734347133596,-149.98468347560558,151.57475939493747,-0.07658024429775878,0.26796580050029206,2.0,0.0,0.8696515369768335,0.8696515369768335
1010,1,0.572876147744403,0.008349218901987577,0.08139386511006108,9.837219346636099,-153.06506123299593,3.0,1.0,0.6656557594313502,-153.06506123299593,153.39053562762004,0.6784059676692209,0.6784059676692209,2.0,0.0,0.8696515369768335,0.8696515369768335
1011,1,0.5778622569836941,0.009718995624325693,0.0935077425176582,9.832785201135922,-151.4641413585465,3.0,1.0,0.5058759955445802,-151.4641413585465,154.8981382618254,0.48380580601150314,1.5004105942517754,2.0,0.0,0.8696515369768335,0.8696515369768335
1012,1,0.566401572806046,0.009586208613501904,0.10024414203412808,9.843209495305699,-151.61113565455676,7.0,1.0,0.6731556694472015,-151.61113565455676,152.82520350157583,0.03263366943517099,1.1223617475565106,2.0,0.0,0.8696515369768335,0.8696515369768335
1013,1,0.5711713016246319,0.009759083232153024,0.1104430527209048,9.811108147682459,-150.8017016129473,7.0,1.0,0.6849668742265195,-150.8017016129473,152.42412104220682,-0.15914790546645463,1.1351071442497584,2.0,0.0,0.8696515369768335,0.8696515369768335
1014,1,0.5663726329259837,0.00868888372466606,0.10956691646511971,9.78887810563886,-150.74653593737406,3.0,1.0,0.8063713441751625,-150.74653593737406,152.43941466290988,-0.17664356236716117,0.5251841438761744,2.0,0.0,0.8696515369768335,0.8696515369768335
1015,1,0.5663726329259837,0.00868888372466606,0.10956691646511971,9.78887810563886,-150.74653593737406,3.0,1.0,0.6126976374823271,-150.74653593737406,153.16341974369533,0.0,0.9416468910585536,2.0,0.0,0.8696515369768335,0.8696515369768335
1016,1,0.5521981598851349,0.009817796219390131,0.09949218125252961,9.774777118613054,-154.9891022982589,3.0,1.0,0.07325152182087705,-154.9891022982589,157.28118512046257,1.5209656023200466,17.85526894210429,2.0,0.0,0.8696515369768335,0.8696515369768335
1017,1,0.5743454592890141,0.009685703049988465,0.0905102448708182,9.817061631694097,-150.9195015582336,3.0,1.0,1.0,-150.9195015582336,155.32809224634687,-0.7113416137980835,-0.7113416137980835,2.0,0.0,0.8696515369768335,0.8696515369768335
1018,1,0.5694368208200198,0.00906927784386867,0.11370795567563476,9.795073661873008,-150.5790919375368,3.0,1.0,0.9572300061637783,-150.5790919375368,151.8275240986974,-0.1810673728260781,-0.1810673728260781,2.0,0.0,0.8696515369768335,0.8696515369768335
1019,1,0.5738209803341852,0.00914553444126865,0.09052125812272493,9.824883640949608,-150.50082691464561,7.0,1.0,1.0,-150.50082691464561,150.842166564651,-0.037325689636872994,-0.16217369361993406,2.0,0.0,0.8696515369768335,0.8696515369768335
1020,1,0.585890999699531,0.008872193756806028,0.10499727833205041,9.83820157956936,-151.66474978418236,3.0,1.0,0.8423028411829825,-151.66474978418236,152.5851373004464,0.19838631029725207,0.2698943802894007,2.0,0.0,0.8696515369768335,0.8696515369768335
1021,1,0.5613008255066159,0.009077257525694375,0.10587097724115863,9.779078470701624,-151.6028064245132,15.0,1.0,0.9807629728016245,-151.6028064245132,152.55016626324198,-0.024498633662830116,-0.2587458231135713,3.0,0.0,0.8696515369768335,0.8696515369768335
